molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
CHEMBL201388,CC(=O)Nc1c(C(C)=O)c(=O)n(CC(C)C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,556.8770000000002,7.507700000000005,1.0,5.0,-0.041234181675463145,8.638272163982407
CHEMBL204391,CC(=O)Nc1cc(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,472.7590000000002,6.186100000000003,1.0,4.0,-0.040717325601318285,6.958607314841775
CHEMBL265787,CC(=O)Nc1c(C#N)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,497.7690000000002,6.057780000000003,1.0,5.0,-0.041077253229552864,7.455931955649724
CHEMBL202013,CC(=O)Nc1c(C)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,486.78600000000023,6.494520000000004,1.0,4.0,-0.041120444544941015,7.585026652029182
CHEMBL201102,COc1c(NC(C)=O)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,active,502.78500000000025,6.194700000000004,1.0,5.0,-0.04113004261502727,7.619788758288394
CHEMBL202659,CC(=O)Nc1c(N(C)C)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,515.8280000000002,6.252100000000004,1.0,5.0,-0.04114923875519978,7.698970004336019
CHEMBL381677,CC(=O)Nc1c(C(C)C)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,514.8400000000001,7.309500000000004,1.0,4.0,-0.04117323393041542,7.823908740944319
CHEMBL203811,CC(=O)c1c(N)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,active,472.7590000000002,6.012500000000003,1.0,5.0,-0.040669335250887007,6.920818753952375
CHEMBL370388,CC(=O)c1c(N(C)C)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,active,500.8130000000003,6.496300000000004,0.0,5.0,-0.040784512091922076,7.017728766960431
CHEMBL202202,CC(=O)c1c(C)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,active,471.77100000000013,6.738720000000003,0.0,4.0,-0.04098127252869031,7.259637310505756
CHEMBL202201,CC(=O)c1c(NC(=O)CO)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,active,530.7950000000002,5.361100000000003,2.0,6.0,-0.041024463844078464,7.337242168318426
CHEMBL201552,COCC(=O)Nc1c(C(C)=O)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,544.8220000000002,6.015200000000004,1.0,6.0,-0.04113004261502727,7.619788758288394
CHEMBL203152,CC(=O)Nc1c(C(C)=O)c(O)nc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,500.7690000000002,6.790600000000003,2.0,5.0,-0.0408756937577415,7.113509274827518
CHEMBL380483,CC(=O)Nc1c(C(C)=O)c(=O)n(CCO)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,544.8220000000001,5.844000000000004,2.0,6.0,-0.04109165033468225,7.494850021680094
CHEMBL204232,CC(=O)Nc1c(C(C)=O)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,514.7960000000002,6.388700000000004,1.0,5.0,-0.04120922669323888,8.1249387366083
CHEMBL202064,CC(=O)Nc1c(C(C)=O)c(=O)n(CC2CCCO2)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,584.8870000000002,7.030700000000005,1.0,6.0,-0.041220264473838066,8.2839966563652
CHEMBL371252,COCCn1c(=O)c(C(C)=O)c(NC(C)=O)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc21,active,558.8490000000002,6.498100000000004,1.0,6.0,-0.04122746302640276,8.431798275933005
CHEMBL202169,CC(=O)Nc1c(C(C)=O)c(=O)n(Cc2ccccc2)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,active,590.8940000000002,7.900000000000005,1.0,5.0,-0.041234181675463145,8.638272163982407
CHEMBL374291,CC(NC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(Cc1ccc(Cl)cc1)c1ccc(Cl)cc1,active,490.8580000000002,7.335400000000006,1.0,2.0,-0.04114923875519978,7.698970004336019
CHEMBL220360,C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1cccc(C#N)c1,active,515.9630000000002,6.314080000000006,1.0,4.0,-0.0412437797455494,9.522878745280337
CHEMBL373626,C[C@H](NC(=O)C(C)(C)Oc1ccc(C(F)(F)F)cn1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,active,490.95300000000015,6.442400000000006,1.0,3.0,-0.04124281993854077,9.301029995663981
CHEMBL387027,C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cn1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,active,457.4010000000001,6.077000000000005,1.0,3.0,-0.04123898071050627,8.886056647693163
CHEMBL2113258,C[C@H](NC(=O)C(C)(C)Oc1ccncc1)[C@H](Cc1ccc(Cl)cc1)c1ccccc1,active,422.9560000000001,5.423600000000005,1.0,3.0,-0.041163635860329166,7.769551078621726
CHEMBL2113257,C[C@H](NC(=O)C(C)(C)Oc1cccnc1)[C@@H](Cc1ccc(Cl)cc1)c1ccccc1,active,422.9560000000001,5.423600000000005,1.0,3.0,-0.04115403779024291,7.721246399047171
